Baiton Hotel,Nine Tree Hotel Dongdaemun,Novotel Amassador Dongdaemun,Dongdaemun DDP,Toyoko Inn (Splaisir Dongdaemun),Toegyero 6(yuk)ga (Skypark Dongdaemun),PJ Hotel (Chungmu-ro stn),G3 Hotel (Namsan Hanok Village),Myeong-dong stn,Bank of Korea (Splaisir Myeong-dong),Seoul stn. (Exit 3),Seoul stn Transfer Centre,Four Points by Sheraton Seoul (Garwol-dong),Sookmyung Women's Univ.,Samgakji stn,Yongsan Post-Office,Sinyongsan stn,Hangang Bridge North End,Incheon Airport Terminal 2,Incheon Airport Terminal 1
16:30,16:32,16:34,16:36,16:38,16:40,16:30,16:32,16:35,16:27,16:30,16:32,16:34,16:36,16:38,16:40,16:42,16:44,18:09,18:14
16:42,16:44,16:46,16:48,16:50,16:52,16:42,16:44,16:47,16:39,16:42,16:44,16:46,16:48,16:50,16:52,16:54,16:56,18:24,18:29
16:55,16:57,16:59,17:01,17:03,17:05,16:54,16:56,16:59,16:51,16:54,16:56,16:58,17:00,17:02,17:04,17:06,17:08,18:39,18:44
17:08,17:10,17:12,17:14,17:16,17:18,17:07,17:09,17:12,17:03,17:06,17:08,17:10,17:12,17:14,17:16,17:18,17:20,18:54,18:59
17:22,17:24,17:26,17:28,17:30,17:32,17:20,17:22,17:25,17:16,17:19,17:21,17:23,17:25,17:27,17:29,17:31,17:33,19:09,19:14
17:36,17:38,17:40,17:42,17:44,17:46,17:34,17:36,17:39,17:29,17:32,17:34,17:36,17:38,17:40,17:42,17:44,17:46,19:24,19:29
17:50,17:52,17:54,17:56,17:58,18:00,17:48,17:50,17:53,17:43,17:46,17:48,17:50,17:52,17:54,17:56,17:58,18:00,19:42,19:44
18:05,18:07,18:09,18:11,18:13,18:15,18:02,18:04,18:07,17:57,18:00,18:02,18:04,18:06,18:08,18:10,18:12,18:14,20:00,20:02
18:20,18:22,18:24,18:26,18:28,18:30,18:17,18:19,18:22,18:11,18:14,18:16,18:18,18:20,18:22,18:24,18:26,18:28,20:19,20:20
18:35,18:37,18:39,18:41,18:43,18:45,18:32,18:34,18:37,18:26,18:29,18:31,18:33,18:35,18:37,18:39,18:41,18:43,20:34,20:39
18:50,18:52,18:54,18:56,18:58,19:00,18:47,18:49,18:52,18:41,18:44,18:46,18:48,18:50,18:52,18:54,18:56,18:58,20:51,20:54
19:10,19:12,19:14,19:16,19:18,19:20,19:02,19:04,19:07,18:56,18:59,19:01,19:03,19:05,19:07,19:09,19:11,19:13,21:09,21:11
19:30,19:32,19:34,19:36,19:38,19:40,19:22,19:24,19:27,19:11,19:14,19:16,19:18,19:20,19:22,19:24,19:26,19:28,21:24,21:29
19:50,19:52,19:54,19:56,19:58,20:00,19:42,19:44,19:47,19:31,19:34,19:36,19:38,19:40,19:42,19:44,19:46,19:48,21:42,21:44
,,,,,,20:02,20:04,20:07,19:51,19:54,19:56,19:58,20:00,20:02,20:04,20:06,20:08,21:59,22:02
,,,,,,,,,20:11,20:14,20:16,20:18,20:20,20:22,20:24,20:26,20:28,22:16,22:19
,,,,,,,,,,,,,,,,,,22:33,22:36
,,,,,,,,,,,,,,,,,,22:49,22:53
,,,,,,,,,,,,,,,,,,,23:09
